gvkey	year	gvkey	conm	year	Y	K	L	M	VA	w	i	r&d	naics_4digit
001161	2010	001161	ADVANCED MICRO DEVICES	2010	6569.283994577862	7780.788356327925	11.1	3683.6763307503998	2885.6076638274626	58192.89052542133	146.07906035631447	1386.7640527069043	3344
001161	2011	001161	ADVANCED MICRO DEVICES	2011	6761.4449397255485	2108.8614785360705	11.093	3826.6643366721914	2934.7806030533566	60953.890816253	241.73274028234383	1404.9506865209823	3344
001161	2012	001161	ADVANCED MICRO DEVICES	2012	5576.86967075692	2279.734653835373	10.34	3310.401201361817	2266.468469395102	62223.95935118233	126.18954998719127	1284.6665464861428	3344
001161	2013	001161	ADVANCED MICRO DEVICES	2013	5436.098401690638	2302.5735255951085	10.671	3286.8755596134515	2149.2228420771867	62682.861773938734	78.83770694898074	1127.1915005443557	3344
001161	2014	001161	ADVANCED MICRO DEVICES	2014	5622.785249634917	1834.1147459438864	9.687	3621.1630444328703	2001.6222052020466	64311.75515456021	87.69176805065815	989.5323721084793	3344
001327	2010	001327	SKYWORKS SOLUTIONS INC	2010	1084.2747890828898	541.135750839157	3.7	478.938434458899	605.3363546239909	58192.89052542133	87.77476188126141	132.3989537580812	3344
001327	2011	001327	SKYWORKS SOLUTIONS INC	2011	1460.7129988984857	623.6262587354868	4.4	622.03646321251	838.6765356859758	60953.890816253	97.33127054728293	163.06033649197448	3344
001327	2012	001327	SKYWORKS SOLUTIONS INC	2012	1613.3846929224565	712.5191825330469	4.7	710.2915976672183	903.0930952552382	62223.95935118233	89.30899361461901	201.65090087953166	3344
001327	2013	001327	SKYWORKS SOLUTIONS INC	2013	1838.3635281807178	783.3608437924985	4.75	839.6412523851536	998.7222757955641	62682.861773938734	116.19176333671209	212.3925366970755	3344
001327	2014	001327	SKYWORKS SOLUTIONS INC	2014	2340.103959233275	853.7760688346399	5.55	1017.0064234143152	1323.0975358189598	64311.75515456021	192.55266121439251	232.79856739343143	3344
001632	2010	001632	ANALOG DEVICES	2010	2793.5167013980217	2338.841013824885	8.5	751.3696967244624	2042.1470046735592	58192.89052542133	110.10906578492819	485.91521492375267	3344
001632	2011	001632	ANALOG DEVICES	2011	3081.4811764584774	2421.134792626728	9.2	772.2459568247566	2309.2352196337206	60953.890816253	118.92864049506865	488.8512860181783	3344
001632	2012	001632	ANALOG DEVICES	2012	2778.2952593522105	2523.1140708204925	9.2	709.2126348703493	2069.0826244818613	62223.95935118233	125.40774405343603	485.78517415106694	3344
001632	2013	001632	ANALOG DEVICES	2013	2701.8291306756396	2630.856151039637	9.1	681.726953774185	2020.1021769014544	62682.861773938734	115.51038029808161	481.7124676202275	3344
001632	2014	001632	ANALOG DEVICES	2014	2925.536390837699	2707.3004852821364	9.6	661.2515956414734	2264.2847951962253	64311.75515456021	164.22637399154468	516.6300515073754	3344
002577	2010	002577	CTS CORP	2010	559.0476864871426	415.41039934643663	4.369	238.62656645153456	320.4211200356081	58192.89052542133	13.098751418842225	18.075309677737746	3344
002577	2011	002577	CTS CORP	2011	605.8390553742574	387.9030707866788	4.234	289.2183983775827	316.6206569966748	60953.890816253	19.635467027654222	19.328949912976213	3344
002577	2012	002577	CTS CORP	2012	593.3966242555774	392.1920803498486	4.264	284.2455550641309	309.1510691914465	62223.95935118233	15.487158078503182	19.846864711519302	3344
002577	2013	002577	CTS CORP	2013	420.0547815917438	385.27419354838713	2.918	161.42551550093356	258.62926609081023	62682.861773938734	13.122724030483912	21.794871794871796	3344
002577	2014	002577	CTS CORP	2014	412.5905047843714	301.8061524541959	2.948	131.36316493571482	281.2273398486566	64311.75515456021	11.952849520926025	20.82725644765263	3344
002829	2010	002829	R F INDUSTRIES LTD	2010	16.51121856475206	3.1635741246613693	0.11	7.016549659093208	9.49466890565885	58192.89052542133	0.15002714306864728	0.41652272615111285	3344
002829	2011	002829	R F INDUSTRIES LTD	2011	20.006382606368195	3.3347313058952883	0.166	6.98189192806185	13.024490678306346	60953.890816253	0.3558305936956101	0.6014310578224714	3344
002829	2012	002829	R F INDUSTRIES LTD	2012	31.09655122759018	5.636406150831209	0.178	14.72872879874104	16.36782242884914	62223.95935118233	0.5597882292664876	0.44593299619533755	3344
002829	2013	002829	R F INDUSTRIES LTD	2013	37.57258047969798	3.179273339189518	0.145	19.425111307166752	18.147469172531235	62682.861773938734	0.2637309006269475	1.3139617824830123	3344
002829	2014	002829	R F INDUSTRIES LTD	2014	23.605281700928277	3.259	0.143	11.490080981996055	12.115200718932222	64311.75515456021	0.13661454391049901	0.0	3344
003532	2010	003532	CORNING INC	2010	6708.883808444777	15029.674086116092	26.2	2334.573006656281	4374.310801788496	58192.89052542133	993.9298228297882	484.62715293885407	3344
003532	2011	003532	CORNING INC	2011	8122.38132984692	16907.50013756672	28.8	2953.2443199950585	5169.137009851862	60953.890816253	2351.576097466641	544.3821311158383	3344
003532	2012	003532	CORNING INC	2012	8240.848358927415	19387.41201097626	28.7	3258.2462997438874	4982.602059183527	62223.95935118233	1708.7772896761767	602.4839416681689	3344
003532	2013	003532	CORNING INC	2013	8021.2971131947725	19823.42541676157	30.4	2884.239725886867	5137.057387307906	62682.861773938734	956.376468821564	666.3663325449563	3344
003532	2014	003532	CORNING INC	2014	9921.060425027828	18696.751934128504	34.6	3763.1918956731306	6157.868529354697	64311.75515456021	993.2246570790334	752.3030627503831	3344
